i/lf    w/lf    attr/text=auto eol=lf 	.PSScriptAnalyzerSettings.psd1
i/lf    w/lf    attr/text=auto eol=lf 	.agents/AGENT-INSTRUCTIONS.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/AGENT-SYSTEM.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/AGENTS.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/HANDOFF.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/README.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/SESSION-END-PROMPT.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/SESSION-PROTOCOL.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/SESSION-START-PROMPT.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/001-claude-code-mcp-config-research.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/001-gemini-code-assist-config-research.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/001-github-copilot-cli-mcp-config-analysis.md
i/crlf  w/crlf  attr/text=auto eol=lf 	.agents/analysis/001-merge-resolver-session-protocol-gap.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/001-vscode-mcp-configuration-analysis.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/001-workflow-validation-shift-left-analysis.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/002-ai-quality-gate-failure-patterns.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/002-copilot-cli-limitations-assessment.md
i/crlf  w/crlf  attr/text=auto eol=lf 	.agents/analysis/002-pr-checks-skill-extraction.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/002-project-constraints-consolidation.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/003-awesome-copilot-gap-analysis.md
i/crlf  w/crlf  attr/text=auto eol=lf 	.agents/analysis/003-memory-title-content-alignment-detection.md
i/crlf  w/crlf  attr/text=auto eol=lf 	.agents/analysis/003-memory-title-content-alignment-issue-draft.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/003-missing-issues-prs-investigation.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/003-quality-gate-comment-caching-rca.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/003-session-protocol-skill-gate.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/004-check-skill-exists-tool.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/004-markdown-parsing-library-research.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/004-pr-60-gap-coverage-validation.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/005-semantic-slug-protocol-analysis.md
i/crlf  w/crlf  attr/text=auto eol=lf 	.agents/analysis/007-ai-reviewer-bot-consolidation.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/020-adr-020-feature-request-review-analysis.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/037-adr037-independent-review.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/050-token-efficiency-memory-architecture.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/065-local-guardrails-critical-analysis.md
i/crlf  w/crlf  attr/text=auto eol=lf 	.agents/analysis/066-adr-032-skill-phase-gates-review.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/083-adr-017-quantitative-verification.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/085-velocity-bottleneck-analysis.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/122-adr-036-platform-capability-matrix-research.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/123-phase2a-memory-architecture-review.md
i/crlf  w/crlf  attr/text=auto eol=lf 	.agents/analysis/130-adr037-sync-evidence-review.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/156-pr-review-analysis.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/2025-12-20-session-41-follow-up-tasks.md
i/lf    w/lf    attr/text=auto eol=lf 	.agents/analysis/2025-12-20-session-41-pr-review-consolidation.md
